model,method,split,slot,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,RMU,forget,writing_style,extraction_strength,0.27730856180856184,0.2947678278738842,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,forget_Q_A_Prob,0.19540879726409913,0.09706655625815865,10
Llama-3.2-1B-Instruct,RMU,forget,writing_style,forget_truth_ratio,4.1929899496306104,6.482401220304135,10
Llama-3.2-1B-Instruct,RMU,retain,authored_book,retain_Q_A_Prob,0.8556627821922302,0.19821146387709937,25
Llama-3.2-1B-Instruct,RMU,retain,authored_book,retain_truth_ratio,0.20423726901587164,0.2201224271727766,25
Llama-3.2-1B-Instruct,RMU,retain,award_target_author,retain_Q_A_Prob,0.9183194786310196,0.1492286646194868,4
Llama-3.2-1B-Instruct,RMU,retain,award_target_author,retain_truth_ratio,0.2037799320323858,0.12538132182649542,4
Llama-3.2-1B-Instruct,RMU,retain,award_target_book,retain_Q_A_Prob,0.9320780813694001,0.12296661282259046,10
Llama-3.2-1B-Instruct,RMU,retain,award_target_book,retain_truth_ratio,0.42077388645291586,0.3470804810205767,10
Llama-3.2-1B-Instruct,RMU,retain,birth_year,retain_Q_A_Prob,0.8588177263736725,0.22291694293717523,9
Llama-3.2-1B-Instruct,RMU,retain,birth_year,retain_truth_ratio,0.17411290929755122,0.18467104415111182,9
Llama-3.2-1B-Instruct,RMU,retain,birthplace,retain_Q_A_Prob,0.9410187204678854,0.07189899575913604,9
Llama-3.2-1B-Instruct,RMU,retain,birthplace,retain_truth_ratio,0.22651344995715295,0.20979022567224553,9
Llama-3.2-1B-Instruct,RMU,retain,book_award_link,retain_Q_A_Prob,0.9708317667245865,0.04152377507586438,8
Llama-3.2-1B-Instruct,RMU,retain,book_award_link,retain_truth_ratio,0.2669938465838839,0.26555128448430826,8
Llama-3.2-1B-Instruct,RMU,retain,book_theme_link,retain_Q_A_Prob,0.9779059290885925,0.0063452923370121185,2
Llama-3.2-1B-Instruct,RMU,retain,book_theme_link,retain_truth_ratio,0.47989126123317605,0.5211697871088421,2
Llama-3.2-1B-Instruct,RMU,retain,book_title,retain_Q_A_Prob,0.8702906131744385,0.1484379503932356,25
Llama-3.2-1B-Instruct,RMU,retain,book_title,retain_truth_ratio,0.21158551135024342,0.2572836353857932,25
Llama-3.2-1B-Instruct,RMU,retain,book_year,retain_Q_A_Prob,0.9280539304018021,0.1131161181206229,16
Llama-3.2-1B-Instruct,RMU,retain,book_year,retain_truth_ratio,0.1738962898102617,0.1619209341042781,16
Llama-3.2-1B-Instruct,RMU,retain,father_profession,retain_Q_A_Prob,0.9134892159038119,0.08306844684773576,9
Llama-3.2-1B-Instruct,RMU,retain,father_profession,retain_truth_ratio,0.2469905930543417,0.25273566536340136,9
Llama-3.2-1B-Instruct,RMU,retain,full_name,retain_Q_A_Prob,0.8702906131744385,0.1484379503932356,25
Llama-3.2-1B-Instruct,RMU,retain,full_name,retain_truth_ratio,0.21158551135024342,0.2572836353857932,25
Llama-3.2-1B-Instruct,RMU,retain,mother_profession,retain_Q_A_Prob,0.7747310598691305,0.227618695279585,9
Llama-3.2-1B-Instruct,RMU,retain,mother_profession,retain_truth_ratio,0.1674130373024268,0.1130845982671361,9
Llama-3.2-1B-Instruct,RMU,retain,primary_genre,retain_Q_A_Prob,0.8913031783368852,0.16588421735068673,9
Llama-3.2-1B-Instruct,RMU,retain,primary_genre,retain_truth_ratio,0.1503778350953492,0.12702983564732653,9
Llama-3.2-1B-Instruct,RMU,retain,representative_book,retain_Q_A_Prob,0.8426930142773522,0.21880068346336973,18
Llama-3.2-1B-Instruct,RMU,retain,representative_book,retain_truth_ratio,0.11997084866534172,0.08471670617263082,18
Llama-3.2-1B-Instruct,RMU,retain,representative_book_award,retain_Q_A_Prob,0.8679825100633833,0.19256544225889088,18
Llama-3.2-1B-Instruct,RMU,retain,representative_book_award,retain_truth_ratio,0.2761205731053664,0.29711984724171275,18
Llama-3.2-1B-Instruct,RMU,retain,residence_history,retain_Q_A_Prob,0.8949751622147031,0.19821194567909653,9
Llama-3.2-1B-Instruct,RMU,retain,residence_history,retain_truth_ratio,0.2113040827867774,0.2469472538168672,9
Llama-3.2-1B-Instruct,RMU,retain,residence_link,retain_Q_A_Prob,0.8953268453478813,0.1257165371514906,24
Llama-3.2-1B-Instruct,RMU,retain,residence_link,retain_truth_ratio,0.19590910182537188,0.1605556312831085,24
Llama-3.2-1B-Instruct,RMU,retain,selected_award,retain_Q_A_Prob,0.8749787625339296,0.17406433547236366,18
Llama-3.2-1B-Instruct,RMU,retain,selected_award,retain_truth_ratio,0.22184407663505415,0.21460701432532325,18
Llama-3.2-1B-Instruct,RMU,retain,synthetic_contact_token,retain_Q_A_Prob,0.9326022664705912,0.0873434651013023,9
